label_source,score,label,n,positive_rate,roc_auc,brier,log_loss,ece
simulator_full_candidate_labels_oracle,combined,true_failure,5184,0.37982253086419754,0.6934336808399556,0.23311817347094055,1.182122851607532,0.15116991039333996
simulator_full_candidate_labels_oracle,violation_rate,true_failure,5184,0.37982253086419754,0.9380764999008742,0.054097128858996715,0.6655793808514218,0.05605612673611121
simulator_full_candidate_labels_oracle,violation_tail,true_failure,5184,0.37982253086419754,0.7618116576768843,0.1832558063281605,2.5317784074203864,0.1832551728395062
simulator_full_candidate_labels_oracle,regret_cvar,true_failure,5184,0.37982253086419754,0.4835778833189713,0.3290994494575835,1.695645605122646,0.26634847973394665
simulator_full_candidate_labels_oracle,rank_instability,true_failure,5184,0.37982253086419754,0.4914213860719851,0.3711628400488542,4.248948632198223,0.3365276936411336
simulator_full_candidate_labels_oracle,uncertainty,true_failure,5184,0.37982253086419754,0.4888870810154597,0.33474701250093064,1.6999461034807388,0.272915081561629
executed_rollout_calibration_main,pred_risk,step_violation,46360,0.02385677308024159,0.7143474114483881,0.15776291687802457,1.225462011478603,0.23788319260873472
selected_candidate_plan_label,pred_risk,plan_failure,46360,0.24706643658326144,0.6543529449758908,0.18544971933720827,1.3282685632575897,0.1848034345850197
executed_rollout_by_method:calibration_no_ccr,pred_risk,step_violation,2440,0.054098360655737705,0.40124107189748437,0.24750841523921566,1.110692218433836,0.40238875487026154
executed_rollout_by_method:ccr_mpc,pred_risk,step_violation,2440,0.01557377049180328,0.8285091371225732,0.2323794452167493,1.3562190783950305,0.4213388750297684
executed_rollout_by_method:ccr_no_calibration,pred_risk,step_violation,2440,0.02418032786885246,0.6691747520981783,0.025118520286654095,0.22414936968443247,0.021316830021236955
executed_rollout_by_method:chance_constrained_mpc,pred_risk,step_violation,2440,0.08032786885245902,0.9244652406417113,0.1457866073780291,1.9377069786459142,0.1495907053278689
executed_rollout_by_method:conformal_decision_baseline,pred_risk,step_violation,2440,0.02622950819672131,0.6783492476851851,0.2534415752337587,1.1103586109143702,0.422407869920042
executed_rollout_by_method:conformal_prediction_mpc,pred_risk,step_violation,2440,0.0020491803278688526,0.2957289527720739,0.06595864021445944,0.6536049791585591,0.1478462673902368
executed_rollout_by_method:conformal_risk_non_ccr,pred_risk,step_violation,2440,0.004918032786885246,0.4188804228445909,0.0658120240079973,0.6518287855989349,0.13371131496688404
executed_rollout_by_method:cvar_ra_mppi,pred_risk,step_violation,2440,0.021721311475409837,0.5,0.021721268033786885,0.30009198630053285,0.021720311475409836
executed_rollout_by_method:disagreement_only,pred_risk,step_violation,2440,0.03155737704918033,0.6644206407219526,0.25213209094731376,1.1025435210355632,0.4165436574959145
executed_rollout_by_method:domain_randomized_mpc,pred_risk,step_violation,2440,0.01721311475409836,0.5,0.017213080328868847,0.2378089514080732,0.01721211475409836
executed_rollout_by_method:ensemble_uncertainty_penalty,pred_risk,step_violation,2440,0.027868852459016394,0.5826120920543597,0.05327581042199984,0.318874879666486,0.06070910302806199
executed_rollout_by_method:oracle_mpc,pred_risk,step_violation,2440,0.012704918032786885,0.8364466583644665,0.3229501737714918,4.461731135923777,0.3229511483606558
executed_rollout_by_method:prediction_calibrated_penalty,pred_risk,step_violation,2440,0.036885245901639344,0.7085271867612293,0.1905278561513662,0.8525033159623074,0.3440059851274944
executed_rollout_by_method:regret_only,pred_risk,step_violation,2440,0.006557377049180328,0.5870590965346535,0.1786166661789792,0.9294647014239851,0.35846487935979976
executed_rollout_by_method:robust_mpc,pred_risk,step_violation,2440,0.015163934426229509,0.9213483146067416,0.16213083770589673,2.1595586900736903,0.16623014672131153
executed_rollout_by_method:soda_like_fallback,pred_risk,step_violation,2440,0.020081967213114754,0.11825382599714916,0.2421017509387621,0.7432756371810426,0.41689127636653395
executed_rollout_by_method:sysid_mpc,pred_risk,step_violation,2440,0.030737704918032786,0.8568710359408034,0.29862046127127045,3.912074206973514,0.33849338077195423
executed_rollout_by_method:vanilla_mppi,pred_risk,step_violation,2440,0.023770491803278688,0.8667086481947943,0.27162243032883354,3.626037544309628,0.27844301967213125
executed_rollout_by_method:violation_tail_only,pred_risk,step_violation,2440,0.001639344262295082,0.19571018062397372,0.14565959137530413,0.8786439654569052,0.3119151985641579
