method,level,cost_mean,cost_sem,violation_rate_mean,violation_rate_sem,observed_risk_mean,observed_risk_sem
calibration_no_ccr,L0,50.8081072270899,7.2776898523770726,0.010101010101010095,0.00784336231874277,0.1111111111111111,0.0762215933966706
calibration_no_ccr,L1,42.604276768631195,5.581872592616645,0.07746913580246911,0.02229349690267062,0.4444444444444444,0.12051692101036454
calibration_no_ccr,L2,41.840957423910254,5.467736531711466,0.07320426487093153,0.028321925938879798,0.3888888888888889,0.11823563735376173
ccr_mpc,L0,29.756329780900735,3.2181865156464626,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
ccr_mpc,L1,29.629031150019102,3.2889999429877004,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
ccr_mpc,L2,28.84858424518499,3.318909017787786,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
ccr_no_calibration,L0,28.99438173173193,3.11008096245423,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
ccr_no_calibration,L1,29.164565362185343,3.2605570429428474,0.013748597081930412,0.009486538405922826,0.1111111111111111,0.0762215933966706
ccr_no_calibration,L2,28.4160215210533,3.2582869197771163,0.01739618406285072,0.009826790607797871,0.2222222222222222,0.1008316903303367
chance_constrained_mpc,L0,29.05467172694727,2.9860735805763525,0.020454545454545454,0.01773153810074407,0.1111111111111111,0.07622159339667059
chance_constrained_mpc,L1,30.56897290599948,2.995696636609255,0.06388888888888888,0.05524833353822456,0.2222222222222222,0.1008316903303367
chance_constrained_mpc,L2,33.57711897529302,3.2518514325737486,0.1170314253647587,0.05662926502798026,0.5555555555555556,0.12051692101036454
conformal_decision_baseline,L0,30.19003048173867,3.283179886544952,0.029068462401795732,0.011712795831926354,0.3333333333333333,0.1143323900950059
conformal_decision_baseline,L1,32.94334173586084,3.4124959176149647,0.0600448933782267,0.018298850587731792,0.5,0.12126781251816651
conformal_decision_baseline,L2,37.03507783061045,4.273993228456863,0.05620089786756452,0.014133147804396484,0.6111111111111112,0.1182356373537617
conformal_prediction_mpc,L0,28.54369701358854,3.0876362964510777,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
conformal_prediction_mpc,L1,28.855651691659432,3.2420621689856888,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
conformal_prediction_mpc,L2,31.61325342532912,3.3129715719038364,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
conformal_risk_non_ccr,L0,28.590058424385788,3.0957048456051193,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
conformal_risk_non_ccr,L1,28.897694407132015,3.2454032454683857,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
conformal_risk_non_ccr,L2,28.158560085944714,3.2635871660962885,0.005050505050505045,0.0034646178816668417,0.1111111111111111,0.0762215933966706
cvar_ra_mppi,L0,28.801957287554973,3.105706062371794,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
cvar_ra_mppi,L1,28.95535876225876,3.2554827048403157,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
cvar_ra_mppi,L2,28.193500361092138,3.2770385671593925,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
disagreement_only,L0,29.577248271727893,3.163389587391384,0.025982042648709312,0.010634491301442933,0.2777777777777778,0.10863248456597818
disagreement_only,L1,31.925662756839895,3.4769464155859993,0.046156004489337814,0.014647212407686322,0.4444444444444444,0.12051692101036454
disagreement_only,L2,38.45755365719637,4.443116399221249,0.03597081930415263,0.011469457733500221,0.4444444444444444,0.12051692101036454
domain_randomized_mpc,L0,29.00178125585573,3.0925151392108057,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
domain_randomized_mpc,L1,29.40998970074041,3.255813007348446,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
domain_randomized_mpc,L2,28.472152406415148,3.289113675917071,0.011784511784511778,0.00945303986039352,0.1111111111111111,0.0762215933966706
ensemble_uncertainty_penalty,L0,40.80958591184894,4.917063314819355,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
ensemble_uncertainty_penalty,L1,41.4844821050487,4.877099933162034,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
ensemble_uncertainty_penalty,L2,38.91458638910626,4.761521867425117,0.008698092031425356,0.004740705636399711,0.16666666666666666,0.0903876907577734
oracle_mpc,L0,28.54604017081952,3.0878956778094304,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
oracle_mpc,L1,28.87192553915926,3.2550432424481492,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
oracle_mpc,L2,28.196197628228862,3.2793928646041595,0.008698092031425362,0.0065304646125478585,0.1111111111111111,0.0762215933966706
prediction_calibrated_penalty,L0,28.975689628907944,3.1205646574061117,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
prediction_calibrated_penalty,L1,29.336970682498915,3.229123628116538,0.050476992143658805,0.022225690693559074,0.2777777777777778,0.1086324845659782
prediction_calibrated_penalty,L2,28.58372692354572,3.251982829868668,0.05603254769921436,0.021177962803915863,0.4444444444444444,0.12051692101036454
regret_only,L0,30.250344449790436,3.304394529071331,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
regret_only,L1,40.7837766312059,4.422738532614703,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
regret_only,L2,45.7040953100138,5.720100597921562,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
robust_mpc,L0,28.74761853095174,3.1014215914576786,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
robust_mpc,L1,29.050941590197095,3.2701039221277406,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
robust_mpc,L2,28.25845493534663,3.268660573493389,0.005050505050505045,0.0034646178816668417,0.1111111111111111,0.0762215933966706
soda_like_fallback,L0,60.868305215536715,6.854881358697635,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
soda_like_fallback,L1,56.68217632501147,6.737511307850805,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
soda_like_fallback,L2,52.884809577943024,6.3105318353136495,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
sysid_mpc,L0,29.498776105069915,3.1885555763358133,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
sysid_mpc,L1,29.587682105333197,3.327175921124902,0.013748597081930412,0.009486538405922826,0.1111111111111111,0.0762215933966706
sysid_mpc,L2,28.563711370432397,3.3145758898074047,0.005050505050505045,0.0034646178816668417,0.1111111111111111,0.0762215933966706
vanilla_mppi,L0,28.56106290319662,3.0891046959603625,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
vanilla_mppi,L1,28.78211878768026,3.248246262082472,0.010662177328843989,0.00801044755270306,0.1111111111111111,0.0762215933966706
vanilla_mppi,L2,28.0800302774199,3.279317541755941,0.021043771043771035,0.011041346366101084,0.2222222222222222,0.1008316903303367
violation_tail_only,L0,52.894384713970794,6.397978079380462,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
violation_tail_only,L1,49.77365535625684,6.11953755086767,0.0075757575757575725,0.007575757575757572,0.05555555555555555,0.05555555555555556
violation_tail_only,L2,46.98245919595773,5.864450844079516,0.0025252525252525224,0.0025252525252525224,0.05555555555555555,0.05555555555555556
