domain,method,cost_mean,violation_rate_mean,prediction_error_mean
classic_control,ccr_mpc,42.26926716216459,0.0,0.012916718269879345
classic_control,conformal_prediction_mpc,50.05901518176856,0.0,0.011895062959121957
classic_control,conformal_risk_non_ccr,41.44481999419129,0.0,0.013411164545030293
classic_control,cvar_ra_mppi,41.48189889269562,0.0,0.013382464506825143
classic_control,learned_risk_executed_logistic,41.472344130327535,0.0,0.013411011360613423
classic_control,learned_risk_executed_selected,41.44134372000148,0.0,0.013583592907233554
classic_control,oracle_mpc,41.40281055664739,0.0,0.013508738147386715
classic_control,vanilla_mppi,41.401079211074155,0.0,0.01322878061299341
dynamic_bicycle_car,ccr_mpc,3.8162000968483283,0.011363636363636364,0.02140683822626725
dynamic_bicycle_car,conformal_prediction_mpc,3.4144491478109877,0.00909090909090909,0.021441610450582026
dynamic_bicycle_car,conformal_risk_non_ccr,3.4095491722627793,0.00909090909090909,0.021365729185947785
dynamic_bicycle_car,cvar_ra_mppi,3.3964693745492633,0.00909090909090909,0.02141641297762393
dynamic_bicycle_car,learned_risk_executed_logistic,3.450528275707731,0.00909090909090909,0.02148929850176696
dynamic_bicycle_car,learned_risk_executed_selected,3.433577450603365,0.00909090909090909,0.02145849224218097
dynamic_bicycle_car,oracle_mpc,3.2068560577267986,0.00909090909090909,0.021632663263843787
dynamic_bicycle_car,vanilla_mppi,3.4176617951501655,0.00909090909090909,0.02140949571073796
planar_quadrotor,ccr_mpc,32.30393713859731,0.011363636363636364,0.01317840492582549
planar_quadrotor,conformal_prediction_mpc,36.64319646034806,0.0,0.013569092285919427
planar_quadrotor,conformal_risk_non_ccr,36.640920532621195,0.0,0.013551187898403752
planar_quadrotor,cvar_ra_mppi,32.08571978727985,0.013636363636363636,0.013101269716575065
planar_quadrotor,learned_risk_executed_logistic,32.13762795330507,0.011363636363636364,0.013189332188546074
planar_quadrotor,learned_risk_executed_selected,32.134270996941744,0.01818181818181818,0.013105972940549354
planar_quadrotor,oracle_mpc,32.0329572073904,0.015909090909090907,0.013047628239497261
planar_quadrotor,vanilla_mppi,32.113138347813205,0.020454545454545454,0.013095232102932858
quasistatic_pushing,ccr_mpc,34.540531767739864,0.0,0.011441211198464921
quasistatic_pushing,conformal_prediction_mpc,49.31443151166502,0.0,0.007537160704077853
quasistatic_pushing,conformal_risk_non_ccr,49.31356053120368,0.0,0.007529330389422749
quasistatic_pushing,cvar_ra_mppi,33.6711161764267,0.0,0.011545165872546668
quasistatic_pushing,learned_risk_executed_logistic,33.629091443375756,0.0,0.011530219650868666
quasistatic_pushing,learned_risk_executed_selected,33.6319365061728,0.0,0.011516765177602372
quasistatic_pushing,oracle_mpc,33.62505038904227,0.0,0.011536965551726341
quasistatic_pushing,vanilla_mppi,33.59942912612977,0.005,0.0116039886615521
secondary_planner,ccr_mpc,40.730189470447094,0.005,0.012447058926362175
secondary_planner,conformal_prediction_mpc,47.90363394399728,0.0,0.011825930305684917
secondary_planner,conformal_risk_non_ccr,40.12322249441876,0.0025,0.013344184582265758
secondary_planner,cvar_ra_mppi,40.161312435968554,0.0075000000000000015,0.013321441969112353
secondary_planner,learned_risk_executed_logistic,40.1660865721044,0.0125,0.012919803800893363
secondary_planner,learned_risk_executed_selected,40.15278708641667,0.01,0.013134820459789375
secondary_planner,oracle_mpc,40.09156198350273,0.005,0.013360812942353032
secondary_planner,vanilla_mppi,40.11447681327634,0.01,0.013129338932515274
synthetic_separation,ccr_mpc,21.102457689738422,0.05555555555555556,0.0215964607450186
synthetic_separation,conformal_prediction_mpc,36.18786011069034,0.0,0.022053558146333575
synthetic_separation,conformal_risk_non_ccr,36.13750759445266,0.0,0.02203701517702046
synthetic_separation,cvar_ra_mppi,20.697282887435712,0.03888888888888889,0.02159217570368418
synthetic_separation,learned_risk_executed_logistic,20.924659876819014,0.09166666666666666,0.021287302395720378
synthetic_separation,learned_risk_executed_selected,20.782588177379235,0.06944444444444445,0.02119224198442326
synthetic_separation,oracle_mpc,20.906003607891044,0.008333333333333333,0.021740170942109397
synthetic_separation,vanilla_mppi,20.50511224615682,0.09166666666666666,0.02121246622317279
