method,score,alpha,split,threshold,cal_accept_rate,cal_accepted_step_violation_rate,cal_accepted_count,n,accept_count,accept_rate,all_step_violation_rate,all_plan_failure_rate,accepted_step_violation_rate,accepted_plan_failure_rate,brier_step,ece_step,roc_auc_step
calibration_no_ccr,pred_violation_rate,0.05,test,0.4,0.8155737704918032,0.0,1194.0,488,406,0.8319672131147541,0.05737704918032787,0.18237704918032788,0.0,0.017241379310344827,0.1109833852468996,0.11147607172131146,0.941304347826087
calibration_no_ccr,violation_tail,0.1,test,0.9999999900000002,1.0,0.05942622950819672,1464.0,488,488,1.0,0.05737704918032787,0.18237704918032788,0.05737704918032787,0.18237704918032788,0.09016375409936064,0.09016293442622951,0.4993788819875777
calibration_no_ccr,violation_tail,0.15,test,0.9999999900000002,1.0,0.05942622950819672,1464.0,488,488,1.0,0.05737704918032787,0.18237704918032788,0.05737704918032787,0.18237704918032788,0.09016375409936064,0.09016293442622951,0.4993788819875777
calibration_no_ccr,violation_tail,0.2,test,0.9999999900000002,1.0,0.05942622950819672,1464.0,488,488,1.0,0.05737704918032787,0.18237704918032788,0.05737704918032787,0.18237704918032788,0.09016375409936064,0.09016293442622951,0.4993788819875777
ccr_mpc,combined,0.05,test,0.283983895056947,1.0,0.014344262295081968,1464.0,488,488,1.0,0.014344262295081968,0.2725409836065574,0.014344262295081968,0.2725409836065574,0.017525022329635796,0.01776035524750676,0.7840807840807842
ccr_mpc,combined,0.1,test,0.283983895056947,1.0,0.014344262295081968,1464.0,488,488,1.0,0.014344262295081968,0.2725409836065574,0.014344262295081968,0.2725409836065574,0.017525022329635796,0.01776035524750676,0.7840807840807842
ccr_mpc,combined,0.15,test,0.283983895056947,1.0,0.014344262295081968,1464.0,488,488,1.0,0.014344262295081968,0.2725409836065574,0.014344262295081968,0.2725409836065574,0.017525022329635796,0.01776035524750676,0.7840807840807842
ccr_mpc,combined,0.2,test,0.283983895056947,1.0,0.014344262295081968,1464.0,488,488,1.0,0.014344262295081968,0.2725409836065574,0.014344262295081968,0.2725409836065574,0.017525022329635796,0.01776035524750676,0.7840807840807842
ccr_no_calibration,pred_risk,0.05,test,0.1930974608475187,1.0,0.02459016393442623,1464.0,488,488,1.0,0.020491803278688523,0.2807377049180328,0.020491803278688523,0.2807377049180328,0.021451935796244374,0.019139040369066374,0.7131799163179917
ccr_no_calibration,pred_risk,0.1,test,0.1930974608475187,1.0,0.02459016393442623,1464.0,488,488,1.0,0.020491803278688523,0.2807377049180328,0.020491803278688523,0.2807377049180328,0.021451935796244374,0.019139040369066374,0.7131799163179917
ccr_no_calibration,pred_risk,0.15,test,0.1930974608475187,1.0,0.02459016393442623,1464.0,488,488,1.0,0.020491803278688523,0.2807377049180328,0.020491803278688523,0.2807377049180328,0.021451935796244374,0.019139040369066374,0.7131799163179917
ccr_no_calibration,pred_risk,0.2,test,0.1930974608475187,1.0,0.02459016393442623,1464.0,488,488,1.0,0.020491803278688523,0.2807377049180328,0.020491803278688523,0.2807377049180328,0.021451935796244374,0.019139040369066374,0.7131799163179917
chance_constrained_mpc,pred_risk,0.05,test,0.9019999999999982,0.769808743169399,0.0,1127.0,488,401,0.8217213114754098,0.0471311475409836,0.29713114754098363,0.0,0.14463840399002495,0.13680301639442216,0.14057439344262299,0.9311827956989247
chance_constrained_mpc,combined,0.1,test,0.9999999932102364,1.0,0.08743169398907104,1464.0,488,488,1.0,0.0471311475409836,0.29713114754098363,0.0471311475409836,0.29713114754098363,0.017509712275151936,0.04511081510788429,0.9959794296400186
chance_constrained_mpc,combined,0.15,test,0.9999999932102364,1.0,0.08743169398907104,1464.0,488,488,1.0,0.0471311475409836,0.29713114754098363,0.0471311475409836,0.29713114754098363,0.017509712275151936,0.04511081510788429,0.9959794296400186
chance_constrained_mpc,combined,0.2,test,0.9999999932102364,1.0,0.08743169398907104,1464.0,488,488,1.0,0.0471311475409836,0.29713114754098363,0.0471311475409836,0.29713114754098363,0.017509712275151936,0.04511081510788429,0.9959794296400186
conformal_decision_baseline,violation_tail,0.05,test,0.9999999900000002,1.0,0.02390710382513661,1464.0,488,488,1.0,0.028688524590163935,0.20901639344262296,0.028688524590163935,0.20901639344262296,0.09016375409936064,0.09016293442622948,0.46835443037974683
conformal_decision_baseline,violation_tail,0.1,test,0.9999999900000002,1.0,0.02390710382513661,1464.0,488,488,1.0,0.028688524590163935,0.20901639344262296,0.028688524590163935,0.20901639344262296,0.09016375409936064,0.09016293442622948,0.46835443037974683
conformal_decision_baseline,violation_tail,0.15,test,0.9999999900000002,1.0,0.02390710382513661,1464.0,488,488,1.0,0.028688524590163935,0.20901639344262296,0.028688524590163935,0.20901639344262296,0.09016375409936064,0.09016293442622948,0.46835443037974683
conformal_decision_baseline,violation_tail,0.2,test,0.9999999900000002,1.0,0.02390710382513661,1464.0,488,488,1.0,0.028688524590163935,0.20901639344262296,0.028688524590163935,0.20901639344262296,0.09016375409936064,0.09016293442622948,0.46835443037974683
conformal_prediction_mpc,violation_tail,0.05,test,0.9999999900000002,1.0,0.00273224043715847,1464.0,488,488,1.0,0.0,0.15778688524590165,0.0,0.15778688524590165,0.03278681967313114,0.032787819672131145,
conformal_prediction_mpc,violation_tail,0.1,test,0.9999999900000002,1.0,0.00273224043715847,1464.0,488,488,1.0,0.0,0.15778688524590165,0.0,0.15778688524590165,0.03278681967313114,0.032787819672131145,
conformal_prediction_mpc,violation_tail,0.15,test,0.9999999900000002,1.0,0.00273224043715847,1464.0,488,488,1.0,0.0,0.15778688524590165,0.0,0.15778688524590165,0.03278681967313114,0.032787819672131145,
conformal_prediction_mpc,violation_tail,0.2,test,0.9999999900000002,1.0,0.00273224043715847,1464.0,488,488,1.0,0.0,0.15778688524590165,0.0,0.15778688524590165,0.03278681967313114,0.032787819672131145,
conformal_risk_non_ccr,violation_tail,0.05,test,0.9999999900000002,1.0,0.00546448087431694,1464.0,488,488,1.0,0.0,0.2028688524590164,0.0,0.2028688524590164,0.047131053279688515,0.04713205327868851,
conformal_risk_non_ccr,violation_tail,0.1,test,0.9999999900000002,1.0,0.00546448087431694,1464.0,488,488,1.0,0.0,0.2028688524590164,0.0,0.2028688524590164,0.047131053279688515,0.04713205327868851,
conformal_risk_non_ccr,violation_tail,0.15,test,0.9999999900000002,1.0,0.00546448087431694,1464.0,488,488,1.0,0.0,0.2028688524590164,0.0,0.2028688524590164,0.047131053279688515,0.04713205327868851,
conformal_risk_non_ccr,violation_tail,0.2,test,0.9999999900000002,1.0,0.00546448087431694,1464.0,488,488,1.0,0.0,0.2028688524590164,0.0,0.2028688524590164,0.047131053279688515,0.04713205327868851,
cvar_ra_mppi,combined,0.05,test,0.3382380036048052,1.0,0.02117486338797814,1464.0,488,488,1.0,0.022540983606557378,0.28688524590163933,0.022540983606557378,0.28688524590163933,0.047901222515427104,0.06234117817910571,0.664379645511721
cvar_ra_mppi,combined,0.1,test,0.3382380036048052,1.0,0.02117486338797814,1464.0,488,488,1.0,0.022540983606557378,0.28688524590163933,0.022540983606557378,0.28688524590163933,0.047901222515427104,0.06234117817910571,0.664379645511721
cvar_ra_mppi,combined,0.15,test,0.3382380036048052,1.0,0.02117486338797814,1464.0,488,488,1.0,0.022540983606557378,0.28688524590163933,0.022540983606557378,0.28688524590163933,0.047901222515427104,0.06234117817910571,0.664379645511721
cvar_ra_mppi,combined,0.2,test,0.3382380036048052,1.0,0.02117486338797814,1464.0,488,488,1.0,0.022540983606557378,0.28688524590163933,0.022540983606557378,0.28688524590163933,0.047901222515427104,0.06234117817910571,0.664379645511721
disagreement_only,violation_tail,0.05,test,0.9999999900000002,1.0,0.030737704918032786,1464.0,488,488,1.0,0.036885245901639344,0.21106557377049182,0.036885245901639344,0.21106557377049182,0.09631128278788524,0.09631047540983606,0.46914893617021275
disagreement_only,violation_tail,0.1,test,0.9999999900000002,1.0,0.030737704918032786,1464.0,488,488,1.0,0.036885245901639344,0.21106557377049182,0.036885245901639344,0.21106557377049182,0.09631128278788524,0.09631047540983606,0.46914893617021275
disagreement_only,violation_tail,0.15,test,0.9999999900000002,1.0,0.030737704918032786,1464.0,488,488,1.0,0.036885245901639344,0.21106557377049182,0.036885245901639344,0.21106557377049182,0.09631128278788524,0.09631047540983606,0.46914893617021275
disagreement_only,violation_tail,0.2,test,0.9999999900000002,1.0,0.030737704918032786,1464.0,488,488,1.0,0.036885245901639344,0.21106557377049182,0.036885245901639344,0.21106557377049182,0.09631128278788524,0.09631047540983606,0.46914893617021275
domain_randomized_mpc,regret_cvar,0.05,test,0.1517939824766805,1.0,0.01912568306010929,1464.0,488,485,0.9938524590163934,0.012295081967213115,0.2807377049180328,0.012371134020618556,0.2824742268041237,0.03138941449249199,0.0421765193332925,0.4813278008298756
domain_randomized_mpc,regret_cvar,0.1,test,0.1517939824766805,1.0,0.01912568306010929,1464.0,488,485,0.9938524590163934,0.012295081967213115,0.2807377049180328,0.012371134020618556,0.2824742268041237,0.03138941449249199,0.0421765193332925,0.4813278008298756
domain_randomized_mpc,regret_cvar,0.15,test,0.1517939824766805,1.0,0.01912568306010929,1464.0,488,485,0.9938524590163934,0.012295081967213115,0.2807377049180328,0.012371134020618556,0.2824742268041237,0.03138941449249199,0.0421765193332925,0.4813278008298756
domain_randomized_mpc,regret_cvar,0.2,test,0.1517939824766805,1.0,0.01912568306010929,1464.0,488,485,0.9938524590163934,0.012295081967213115,0.2807377049180328,0.012371134020618556,0.2824742268041237,0.03138941449249199,0.0421765193332925,0.4813278008298756
ensemble_uncertainty_penalty,violation_tail,0.05,test,0.9999999900000002,1.0,0.0273224043715847,1464.0,488,488,1.0,0.02459016393442623,0.33401639344262296,0.02459016393442623,0.33401639344262296,0.13934398360755737,0.13934326229508195,0.4411764705882353
