method,cost_mean,cost_sem,violation_rate_mean,violation_rate_sem,observed_risk_mean,compute_ms_mean,prediction_error_mean,freezing_rate_mean,fallback_rate_mean
ccr_mpc,29.127097220922604,1.243837455947228,0.01388047138047138,0.004851278765829952,0.1,34.92678490053718,0.015497782048636298,0.11718013468013468,0.0
conformal_prediction_mpc,37.25376439271337,1.8349768330945186,0.0015151515151515152,0.0015151515151515156,0.008333333333333333,33.287006057422815,0.014720402475286627,0.4480892255892256,0.0
conformal_risk_non_ccr,34.511596719858396,1.5385177422685974,0.0019318181818181817,0.0015680194259795031,0.016666666666666666,32.76512780996561,0.015206435296348466,0.38199074074074074,0.0
cvar_ra_mppi,28.582299925725952,1.2329097191657805,0.01151936026936027,0.004175753950326152,0.09166666666666666,32.29981291266361,0.01572648845772789,0.14098905723905725,0.0
learned_risk_executed_logistic,28.63005637527325,1.22896085919494,0.02077020202020202,0.0059411461210316365,0.125,33.86318365117753,0.015637827983068144,0.1382617845117845,0.0
learned_risk_executed_selected,28.596083989585885,1.2299558711300547,0.017786195286195287,0.005149758892942419,0.14166666666666666,33.92836771672971,0.01566531428529648,0.1368686868686869,0.0
oracle_mpc,28.54420663370011,1.2331995510434648,0.006388888888888889,0.002420511578629802,0.075,6.435134027745056,0.015804496514486087,0.1505429292929293,0.0
vanilla_mppi,28.525149589933406,1.2314509522657562,0.022702020202020202,0.005439014779369153,0.18333333333333332,31.937988782847487,0.015613217040650733,0.14989057239057238,0.0
