method,cost_mean,cost_sem,violation_rate_mean,violation_rate_sem,observed_risk_mean,compute_ms_mean,prediction_error_mean,freezing_rate_mean,fallback_rate_mean
calibration_no_ccr,40.28339739464819,1.6112036597775756,0.05260101010101011,0.01151944920510548,0.2833333333333333,48.03350951343666,0.013947016667138443,0.39960437710437713,0.0
ccr_mpc,29.315627080109955,1.2616216035577832,0.016574074074074074,0.004694863833661486,0.15,45.70937641335409,0.015373676187148216,0.1305723905723906,0.0
ccr_no_calibration,28.969891990688264,1.2405512540705828,0.025904882154882156,0.00573780726101417,0.2,46.206698579167664,0.015532515783379835,0.13952020202020202,0.0
chance_constrained_mpc,33.353066326261704,1.5100415669118963,0.08188131313131314,0.01621220733109739,0.43333333333333335,44.695366481913275,0.015466355764214979,0.33364478114478113,0.0
conformal_decision_baseline,38.26215148769931,1.9036378910949328,0.026893939393939394,0.004575446618461384,0.2916666666666667,48.40233799828486,0.01410371263239016,0.4361952861952862,0.0
conformal_prediction_mpc,37.43193461631844,1.848936027099467,0.0019318181818181817,0.0010058952155265984,0.03333333333333333,51.521687323632676,0.014610074950249874,0.4477188552188552,0.0
conformal_risk_non_ccr,34.71766065230477,1.5623648283427953,0.0048484848484848485,0.0017495095147117563,0.06666666666666667,50.907813749804866,0.015089303555388926,0.37516835016835015,0.0
cvar_ra_mppi,28.74239739973037,1.2491709283748207,0.02338804713804714,0.0056410463619944885,0.175,45.63371833437027,0.01558190075791892,0.15086700336700337,0.0
disagreement_only,37.940921488286826,1.8795631610757142,0.03288299663299663,0.005209569658637404,0.325,45.79241723909957,0.014121205958800587,0.4374200336700336,0.0
domain_randomized_mpc,28.729751460236567,1.2491304581021898,0.018080808080808083,0.004962390962112503,0.16666666666666666,44.96157223328716,0.015588259176025769,0.14668771043771045,0.0
ensemble_uncertainty_penalty,30.410788975225856,1.3529560218239916,0.029246632996632996,0.006145158053396197,0.21666666666666667,41.6776174178101,0.014937540808929643,0.13457491582491582,0.0
oracle_mpc,28.635302773209855,1.2542103677008456,0.01337121212121212,0.0036662462177610962,0.14166666666666666,6.958197913831443,0.0156328848543022,0.16340909090909092,0.0
prediction_calibrated_penalty,29.383517973898428,1.2600204697252302,0.03904882154882155,0.005714069164997297,0.4,40.221616697817446,0.014880294673308507,0.20130471380471382,0.0
regret_only,50.3191892070331,2.512868073939995,0.007154882154882154,0.0033639515213003952,0.05,44.98185403341286,0.014061306828296259,0.605837542087542,0.0
robust_mpc,28.724641363089635,1.2505622721136163,0.016064814814814816,0.004774132213984454,0.125,41.270850938907145,0.01563764909505964,0.14505050505050504,0.0
soda_like_fallback,56.304085129597276,2.4496154863682653,0.018560606060606062,0.00796968861861625,0.058333333333333334,48.00730663861436,0.013839850154548297,0.9087121212121212,0.875
sysid_mpc,29.41607894216627,1.291361388358597,0.032218013468013465,0.006286805012424793,0.25833333333333336,42.081177525447394,0.015204028273382143,0.13097643097643097,0.0
vanilla_mppi,28.686153281922916,1.247751322651115,0.02547979797979798,0.005964447300241563,0.20833333333333334,42.0887939233285,0.015533116827010893,0.1502188552188552,0.0
violation_tail_only,48.394146381199,2.5040351915428047,0.001553030303030303,0.0009371402255600912,0.025,48.18578793537894,0.014545303484306151,0.6930050505050505,0.0
